year,km_driven,fuel,seller_type,transmission,owner,seats,mileage,engine_size,brake_horsepower,SalePrice
2014,145500,Diesel,Individual,Manual,First Owner,5,23.4,1248,74,4500
2014,120000,Diesel,Individual,Manual,Second Owner,5,21.14,1498,103.52,3700
2006,140000,Petrol,Individual,Manual,Third Owner,5,17.7,1497,78,1580
2010,127000,Diesel,Individual,Manual,First Owner,5,23,1396,90,2250
2007,120000,Petrol,Individual,Manual,First Owner,5,16.1,1298,88.2,1300
2017,45000,Petrol,Individual,Manual,First Owner,5,20.14,1197,81.86,4400
2001,5000,Petrol,Individual,Manual,Second Owner,4,16.1,796,37,450
2011,90000,Diesel,Individual,Manual,First Owner,5,23.59,1364,67.1,3500
2013,169000,Diesel,Individual,Manual,First Owner,5,20,1399,68.1,2000
2014,68000,Diesel,Individual,Manual,Second Owner,5,19.01,1461,108.45,5000
2005,100000,Petrol,Individual,Manual,Second Owner,5,17.3,993,60,920
2009,140000,Diesel,Individual,Manual,Second Owner,5,19.3,1248,73.9,2800
2009,90000,Petrol,Individual,Manual,Second Owner,5,18.9,1061,67,1800
2016,40000,Petrol,Individual,Manual,First Owner,5,18.15,1198,82,4000
2016,70000,Diesel,Individual,Manual,Second Owner,7,24.52,1248,88.5,7780
2012,53000,Diesel,Individual,Manual,Second Owner,5,23,1396,90,5000
2002,80000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,1500
2016,100000,Diesel,Individual,Manual,First Owner,5,22.54,1396,88.73,6800
2011,100000,Diesel,Individual,Manual,Second Owner,5,21,1461,64.1,1740
2017,50000,Diesel,Individual,Manual,First Owner,5,25.5,1498,98.6,9500
2015,40000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,5250
2012,72000,Diesel,Individual,Manual,First Owner,5,21.5,1248,88.8,6000
2018,35000,Petrol,Individual,Manual,First Owner,5,20.3,1199,83.81,5000
2016,45000,Petrol,Individual,Manual,First Owner,5,21.4,1197,83.1,5750
2017,28000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,2750
2013,70000,Diesel,Individual,Manual,First Owner,7,18.2,1248,73.8,3000
2009,120000,Petrol,Individual,Manual,First Owner,5,18.9,1061,67,2200
2018,25000,Petrol,Individual,Manual,First Owner,8,16.8,796,34.2,2549.99
